hostname_nn,letter_nn,Event,ProposalCategory,ProposalID,Cycle,Observation,Status,ObservingMode,GratingGrism,Subarray,ReadoutPattern,Groups,StartTime,EndTime,Hours,LastName,ProprietaryPeriod,EquatorialCoordinates,sy_kmag,sy_dist,st_teff,st_mass,st_rad,st_logg,pl_orbper,pl_orbsmax,pl_orbincl,pl_massj,pl_radj,pl_g_SI,pl_dens_cgs,pl_Teq_K,pl_trandep,pl_trandur,pl_TSM_K,pl_ESM_3um,PlanWindow,st_met,spectrum,published,nasa_pl_name,pl_name,default_flag,hostname,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_letter,pl_orbper_y,pl_orbsmax_y,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandur_y,rowupdate,st_rad_y,st_teff_y,sy_dist_y,sy_jmag,sy_kmag_y
Kepler-12,b,Transit,GO,3969,2,1,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45474.94,45475.47,13.93,Espinoza,12,19 04 58.4270 +50 02 25.32,12.066,881.39,5953,1.106,1.483,4.175,4.437963,0.055,89.26,0.432,1.695,4.26,0.13,1491.9,1.7,4.7,123.2,14.07,X,0.07,,,Kepler-12 b,Kepler-12 b,1,Kepler-12,137.30256,16.84499,-16.20933,0.11,0.02,-0.02,1480,b,4.4379629,0.0553,19.660586,0.347479,-0.403524,4.7176624,7/10/2015,1.483,5947,881.386,12.406,12.066
GJ 3090,b,Transit,GO,4098,2,111,Executed,SOSS,X,SUBSTRIP256,NISRAPID,2,45477.31,45477.53,5.19,Benneke,0,01 21 45.2173 -46 42 53.04,7.294,22.48,3629.5,0.519,0.518,4.745,2.8531035,0.032,87.14,0.011,0.185,8.69,2.51,708,0.1,1.2,252.99,1.03,X,-0.06,,,GJ 3090 b,GJ 3090 b,1,GJ 3090,3.34,0.72,-0.72,1.89,0.52,-0.45,693,b,2.8531054,0.03165,2.13,0.11,-0.11,1.281,28/11/2023,0.516,3556,22.4751,8.168,7.294
TRAPPIST-1,b+e,Transit,GO,6456,3,1,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45478.05,45478.43,10.79,Allen,12,23 06 30.3652 -05 02 36.70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,X,-999,,,TRAPPIST-1 b,TRAPPIST-1 b,1,TRAPPIST-1,1.374,0.069,-0.069,5.441939,0.264654,-0.275681,802.86,b,1.510826,0.01154,1.116,0.014,-0.012,0.601,14/11/2022,0.1192,2566,,11.354,10.296
LHS 1140,c,Eclipse,GO,3730,2,9,Executed,F1500W,X,SUB256,FASTR1,36,45480.64,45480.84,5.36,Diamond-Lowe,12,00 44 59.6827 -15 16 27.09,8.821,14.99,3131,0.182,0.214,5.049,3.7779329,0.027,89.92,0.006,0.114,12.44,5.84,425,0.3,1.1,28.57,0.02,X,-0.24,,,LHS 1140 c,LHS 1140 c,1,LHS 1140,1.91,0.06,-0.06,5.1,0.4,-0.4,422,c,3.77794,0.027,1.272,0.026,-0.026,1.13,4/3/2024,0.2159,3096,14.9861,9.612001,8.821
TOI-5293 A,b,Transit,GO,3171,2,20,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45482.21,45482.49,7.44,Kanodia,0,23 43 18.8831 -02 02 42.34,11.639,162.23,3639,0.54,0.51,4.77,2.930363,0.034,88.8,0.54,1.061,13.61,0.69,679.6,5.1,1.8,113.06,3.61,X,-0.03,,,TOI-5293 A b,TOI-5293 A b,1,TOI-5293 A,170.4,21.8,-21.9,0.56,0.09,-0.09,675,b,2.930289,0.034,11.9,0.4,-0.4,1.94,21/7/2023,0.52,3586,162.229,12.465,11.639
TRAPPIST-1,c,Transit,GO,2420,1,5,Executed,BOTS,PRISM,SUB512,NRSRAPID,6,45482.71,45482.96,6.26,Meech,0,23 06 30.3341 -05 02 36.46,10.296,-1,2559,0.09,0.118,5.24,2.421848,0.016,89.62,0.004,0.096,12.67,7.07,337.4,0.7,0.7,31.19,0,X,0.04,,,TRAPPIST-1 c,TRAPPIST-1 c,1,TRAPPIST-1,1.308,0.056,-0.056,5.463993,0.220545,-0.237085,339.7,c,2.421937,0.0158,1.097,0.014,-0.012,0.7005,14/11/2022,0.1192,2566,,11.354,10.296
NGTS-2,b,Transit,GO,3838,2,3,Executed,BOTS,G395H,SUB2048,NRSRAPID,48,45483.13,45483.55,11.13,Kirk,12,14 20 29.4628 -31 12 7.45,9.799,356.39,6478,1.64,1.702,4.197,4.5111232,0.063,88.5,0.74,1.625,7.94,0.26,1623.6,1.1,4.6,148.53,31.79,X,-0.06,,,NGTS-2 b,NGTS-2 b,1,NGTS-2,235.1942,41.3179,-38.1396,0.226,0.04,-0.038,1468,b,4.511164,0.063,17.878355,0.526823,-0.504405,4.651,5/10/2018,1.702,6478,356.391,10.055,9.799
TRAPPIST-1,b+e,Transit,GO,6456,3,3,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45484.15,45484.47,9.2,Allen,12,23 06 30.3652 -05 02 36.70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,X,-999,,,TRAPPIST-1 b,TRAPPIST-1 b,1,TRAPPIST-1,1.374,0.069,-0.069,5.441939,0.264654,-0.275681,802.86,b,1.510826,0.01154,1.116,0.014,-0.012,0.601,14/11/2022,0.1192,2566,,11.354,10.296
HAT-P-11,b,Transit,GO,4105,2,2,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,45486.75,45487.03,7.1,Alderson,12,19 50 50.4423 +48 04 54.71,7.009,37.76,4777.6,0.81,0.755,4.59,4.8878027,0.053,89.36,0.081,0.43,12.42,1.55,869.5,0.4,2.4,247.39,5.89,X,0.31,,,HAT-P-11 b,HAT-P-11 b,1,HAT-P-11,23.51930212,1.27131363,-1.27131363,1.172,0.085,-0.085,847,b,4.888,0.05258,4.901,0.065,-0.065,2.3565,24/2/2025,0.74,4653,37.7647,7.608,7.009
TOI-1468,c,Transit,GO,3557,2,8,Executed,BOTS,G395H,SUB2048,NRSRAPID,10,45487.93,45488.13,5.16,Madhusudhan,12,01 06 36.9279 +19 13 29.60,8.497,24.74,3382,0.346,0.369,4.855,15.532477,0.086,89.28,0.017,0.184,14.12,4.1,337.8,0.3,1.8,83.49,0,X,-0.02,,,TOI-1468 c,TOI-1468 c,1,TOI-1468,4.1,1.1,-1.1,2.31,0.72,-0.66,338.1,c,15.532477,0.08608,2.126,0.092,-0.093,1.86,11/6/2025,0.3714,3376,24.7399,9.343,8.497
HAT-P-11,b,Transit,GO,4105,2,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,45491.63,45491.92,7.1,Alderson,12,19 50 50.4423 +48 04 54.71,7.009,37.76,4777.6,0.81,0.755,4.59,4.8878027,0.053,89.36,0.081,0.43,12.42,1.55,869.5,0.4,2.4,247.39,5.89,X,0.31,,,HAT-P-11 b,HAT-P-11 b,1,HAT-P-11,23.51930212,1.27131363,-1.27131363,1.172,0.085,-0.085,847,b,4.888,0.05258,4.901,0.065,-0.065,2.3565,24/2/2025,0.74,4653,37.7647,7.608,7.009
LHS 1140,c,Eclipse,GO,3730,2,11,Executed,F1500W,X,SUB256,FASTR1,36,45491.97,45492.17,5.36,Diamond-Lowe,12,00 44 59.6827 -15 16 27.09,8.821,14.99,3131,0.182,0.214,5.049,3.7779329,0.027,89.92,0.006,0.114,12.44,5.84,425,0.3,1.1,28.57,0.02,X,-0.24,,,LHS 1140 c,LHS 1140 c,1,LHS 1140,1.91,0.06,-0.06,5.1,0.4,-0.4,422,c,3.77794,0.027,1.272,0.026,-0.026,1.13,4/3/2024,0.2159,3096,14.9861,9.612001,8.821
L 231-32,d,Transit,GO,3557,2,12,Executed,LRS,X,SLITLESSPRISM,FASTR1,17,45499,45499.24,6.05,Madhusudhan,12,04 33 39.8638 -51 57 26.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,X,-999,,,L 231-32 d,,,,,,,,,,,,,,,,,,,,,,,
TOI-3235,b,Transit,GO,3731,2,1,Executed,BOTS,PRISM,SUB512S,NRSRAPID,4,45500.94,45501.22,7.08,Jordan,12,13 49 53.7237 -46 03 59.45,10.819,72.81,3381.9,0.394,0.37,4.874,2.5926192,0.027,88.14,0.665,1,18.86,1.01,602.6,7.8,1.4,189.18,4.48,X,0.26,,,TOI-3235 b,TOI-3235 b,1,TOI-3235,211.3558907,7.94571018,-7.94571018,0.78,0.11,-0.11,604,b,2.59261842,0.02709,11.39953337,0.49319515,-0.49319515,1.48,25/2/2023,0.3697,3388.8,72.811,11.706,10.819
TOI-824,b,Eclipse,GO,4102,2,2,Executed,BOTS,G395M,SUB2048,NRSRAPID,5,45502.14,45502.4,6.63,Roy,12,14 48 39.7097 -57 35 20.00,8.432,63.93,4600,0.71,0.695,4.605,1.3929765,0.022,83.65,0.058,0.262,23.94,4.88,1253.3,0.2,1.1,75.73,6.79,X,-0.09,,,TOI-824 b,TOI-824 b,1,TOI-824,18.467,1.843,-1.875,4.03,0.98,-0.78,1253,b,1.392978,0.02177,2.926,0.202,-0.191,1.15344,17/9/2020,0.695,4600,63.9262,9.145001,8.432
TOI-824,b,Eclipse,GO,4102,2,1,Executed,BOTS,G395M,SUB2048,NRSRAPID,5,45504.92,45505.19,6.63,Roy,12,14 48 39.7097 -57 35 20.00,8.432,63.93,4600,0.71,0.695,4.605,1.3929765,0.022,83.65,0.058,0.262,23.94,4.88,1253.3,0.2,1.1,75.73,6.79,X,-0.09,,,TOI-824 b,TOI-824 b,1,TOI-824,18.467,1.843,-1.875,4.03,0.98,-0.78,1253,b,1.392978,0.02177,2.926,0.202,-0.191,1.15344,17/9/2020,0.695,4600,63.9262,9.145001,8.432
TOI-270,d,Transit,GTO,2759,2,1,Executed,SOSS,X,SUBSTRIP256,NISRAPID,3,45510.36,45510.67,8.53,Lafreniere,12,04 33 39.8638 -51 57 26.75,8.251,22.48,3446,0.4,0.38,4.856,11.379573,0.073,89.69,0.015,0.193,11.46,3.18,379.9,0.3,2.2,128.15,0.01,X,-0.17,clear,yes,TOI-270 d,TOI-270 d,1,TOI-270,4.78,0.43,-0.43,2.72,0.33,-0.33,387,d,11.379573,0.0721,2.133,0.058,-0.058,2.2350305,3/8/2021,0.378,3506,22.4793,9.099,8.251
HATS-75,b,Transit,GO,3171,2,9,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45513.74,45514.03,7.38,Kanodia,0,04 03 47.8393 -25 24 32.09,11.584,194.96,3722.2,0.602,0.586,4.561,2.7886548,0.033,88.07,0.491,0.873,18.26,1.12,759.3,2.6,1.9,60.24,3.59,X,0.52,,,HATS-75 b,HATS-75 b,1,HATS-75,156.0537478,12.39530787,-12.39530787,0.878,0.084,-0.084,772.3,b,2.7886556,0.032742,9.90873894,0.14571675,-0.14571675,1.91256,13/12/2021,0.5848,3790.4,194.964,12.481,11.584
WASP-96,b,Transit,GO,4082,2,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,128,45514.08,45514.34,6.68,Radica,12,00 04 11.1767 -47 21 38.29,10.914,352.46,5540,1.06,1.05,4.42,3.4252566,0.045,85.6,0.485,1.225,9.17,0.4,1285.4,1.4,2.4,120.78,16.96,X,0.14,,,WASP-96 b,WASP-96 b,1,WASP-96,152.55,9.53,-9.53,0.37,0.05,-0.05,1285,b,3.4252602,0.0453,13.45,0.67,-0.67,2.4264,14/5/2014,1.05,5540,352.464,11.267,10.914
HATS-75,b,Transit,GO,3171,2,10,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45519.31,45519.61,7.38,Kanodia,0,04 03 47.8393 -25 24 32.09,11.584,194.96,3722.2,0.602,0.586,4.561,2.7886548,0.033,88.07,0.491,0.873,18.26,1.12,759.3,2.6,1.9,60.24,3.59,X,0.52,,,HATS-75 b,HATS-75 b,1,HATS-75,156.0537478,12.39530787,-12.39530787,0.878,0.084,-0.084,772.3,b,2.7886556,0.032742,9.90873894,0.14571675,-0.14571675,1.91256,13/12/2021,0.5848,3790.4,194.964,12.481,11.584
HATS-75,b,Transit,GO,3171,2,19,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45522.1,45522.39,7.38,Kanodia,0,04 03 47.8393 -25 24 32.09,11.584,194.96,3722.2,0.602,0.586,4.561,2.7886548,0.033,88.07,0.491,0.873,18.26,1.12,759.3,2.6,1.9,60.24,3.59,X,0.52,,,HATS-75 b,HATS-75 b,1,HATS-75,156.0537478,12.39530787,-12.39530787,0.878,0.084,-0.084,772.3,b,2.7886556,0.032742,9.90873894,0.14571675,-0.14571675,1.91256,13/12/2021,0.5848,3790.4,194.964,12.481,11.584
TOI-1130,b,Transit,GO,3385,2,2,Executed,BOTS,G395H,SUB2048,NRSRAPID,8,45524.36,45524.68,8.12,Huang,12,19 05 30.2409 -41 26 15.50,8.351,58.26,4250,0.698,0.695,4.6,4.07445,0.045,87.98,0.061,0.326,16.39,2.69,809.3,0.3,2.1,93.64,1.79,X,0.2,clear,no,TOI-1130 b,TOI-1130 b,1,TOI-1130,19.8,0.2,-0.3,2.23,0.06,-0.06,825,b,4.074554,0.0453,3.66,0.03,-0.04,1.8373729,30/8/2024,0.697,4360,58.2609,9.055,8.351
TOI-1130,b,Transit,GO,3385,2,4,Executed,SOSS,X,SUBSTRIP256,NISRAPID,2,45528.45,45528.77,8.07,Huang,12,19 05 30.2409 -41 26 15.50,8.351,58.26,4250,0.698,0.695,4.6,4.07445,0.045,87.98,0.061,0.326,16.39,2.69,809.3,0.3,2.1,93.64,1.79,X,0.2,,,TOI-1130 b,TOI-1130 b,1,TOI-1130,19.8,0.2,-0.3,2.23,0.06,-0.06,825,b,4.074554,0.0453,3.66,0.03,-0.04,1.8373729,30/8/2024,0.697,4360,58.2609,9.055,8.351
L 231-32,d,Transit,GO,4098,2,16,Executed,BOTS,G395H,SUB2048,NRSRAPID,11,45533.1,45533.39,7.22,Benneke,0,04 33 39.8638 -51 57 26.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,X,-999,,,L 231-32 d,,,,,,,,,,,,,,,,,,,,,,,
TOI-1468,c,Transit,GO,3557,2,9,Executed,LRS,X,SLITLESSPRISM,FASTR1,22,45534.47,45534.72,6.32,Madhusudhan,12,01 06 36.9279 +19 13 29.60,8.497,24.74,3382,0.346,0.369,4.855,15.532477,0.086,89.28,0.017,0.184,14.12,4.1,337.8,0.3,1.8,83.49,0,X,-0.02,,,TOI-1468 c,TOI-1468 c,1,TOI-1468,4.1,1.1,-1.1,2.31,0.72,-0.66,338.1,c,15.532477,0.08608,2.126,0.092,-0.093,1.86,11/6/2025,0.3714,3376,24.7399,9.343,8.497
TOI-1685,b,Transit,GO,4195,2,104,Executed,BOTS,G395H,SUB2048,NRSRAPID,16,45535.97,45536.22,6.17,Fisher,12,04 34 22.5504 +43 02 13.30,8.758,37.62,3457,0.478,0.462,4.814,0.6691406,0.011,85.59,0.00953,0.131,12.64,5.3,1058.5,0.1,1,136.19,3.75,X,0,,,TOI-1685 b,TOI-1685 b,1,TOI-1685,3.03,0.33,-0.32,5.3,0.8,-0.8,1062,b,0.66913924,0.01138,1.468,0.05,-0.051,0.918,7/8/2024,0.4555,3575,37.6153,9.616,8.758
TOI-1130,c,Transit,GO,3385,2,3,Executed,SOSS,X,SUBSTRIP256,NISRAPID,2,45542.89,45543.2,7.74,Huang,12,19 05 30.2409 -41 26 15.50,8.351,58.26,4250,0.684,0.691,4.6,8.3502104,0.072,87.52,0.999,1.188,20.06,0.9,635.3,1.7,1.9,198.94,5.48,X,0.2,,,TOI-1130 c,TOI-1130 c,1,TOI-1130,336,2,-5,0.827042,0.055136,-0.110272,650,c,8.3501898,0.0731,13,0.4,-0.4,1.836,30/8/2024,0.697,4360,58.2609,9.055,8.351
Kepler-86,b,Transit,GO,3235,2,1,Executed,BOTS,PRISM,SUB512,NRSRAPID,6,45545.02,45545.87,23.75,Fortney,12,19 19 3.2691 +51 57 45.66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,X,-999,,,Kepler-86 b,,,,,,,,,,,,,,,,,,,,,,,
TOI-125,b,Transit,GO,4126,2,101,Executed,BOTS,G395H,SUB2048,NRSRAPID,22,45564.78,45565.16,9.97,Fisher,12,01 34 22.4221 -66 40 34.86,8.995,111.06,5282,0.871,0.851,4.517,4.6528365,0.052,88.92,0.03,0.243,14.32,3.15,1030.6,0.1,3,49.67,1.12,X,0.07,unsure,no,TOI-125 b,TOI-125 b,1,TOI-125,9.5,0.88,-0.88,2.57,0.33,-0.33,1037,b,4.65382,0.05186,2.726,0.075,-0.075,2.9616,6/2/2020,0.848,5320,111.059,9.466,8.995
WASP-69,b,Transit,GO,3712,2,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,5,45565.28,45565.6,8.27,Cubillos,12,21 00 6.2319 -05 05 41.49,7.459,49.96,4715,0.826,0.813,4.535,3.8681389,0.045,86.71,0.26,1.057,6.6,0.33,963.7,1.8,2.2,889.27,41.77,X,0.14,,,WASP-69 b,WASP-69 b,1,WASP-69,82.58,5.37,-5.37,0.262,0.047,-0.039,971,b,3.86813881,0.0453,11.21,0.22,-0.22,2.1869,28/8/2025,0.801,4792,49.9605,8.032,7.459
WASP-69,b,Transit,GO,3712,2,2,Executed,LRS,X,SLITLESSPRISM,FASTR1,15,45569.15,45569.46,7.93,Cubillos,12,21 00 6.2319 -05 05 41.49,7.459,49.96,4715,0.826,0.813,4.535,3.8681389,0.045,86.71,0.26,1.057,6.6,0.33,963.7,1.8,2.2,889.27,41.77,X,0.14,,,WASP-69 b,WASP-69 b,1,WASP-69,82.58,5.37,-5.37,0.262,0.047,-0.039,971,b,3.86813881,0.0453,11.21,0.22,-0.22,2.1869,28/8/2025,0.801,4792,49.9605,8.032,7.459
TOI-4010,d,Transit,GO,5894,3,3,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45570.5,45570.89,10.06,Kunimoto,12,01 20 51.5598 +66 04 19.91,10.157,177.5,4924,0.88,0.855,4.495,14.7090131,0.113,89,0.12,0.568,10.56,0.99,653.2,0.5,3.6,52.78,0.34,X,0.37,,,TOI-4010 d,TOI-4010 d,1,TOI-4010,38.15,3.27,-3.22,0.9,0.1,-0.1,650,d,14.70886,0.113,6.18,0.14,-0.15,3.6,27/6/2023,0.83,4960,177.504,10.649,10.157
WASP-94 A,b,Transit,GO,5924,3,4,Executed,SOSS,X,SUBSTRIP256,NISRAPID,3,45576.94,45577.38,11.51,Sing,0,20 55 7.9444 -34 08 8.01,8.874,211.21,6153,1.45,1.62,4.181,3.9501954,0.055,88.7,0.456,1.72,4.37,0.14,1607.3,1.2,4.5,478.31,62.93,X,0.26,,,WASP-94 A b,WASP-94 A b,1,WASP-94 A,158.915,41.3179,-41.3179,0.114,0.014,-0.013,1570,b,3.95019,0.0554,17.71022,1.45717,-1.45717,4.444,25/4/2018,1.48,6170,211.211,9.159,8.874
LTT 9779,b,PhaseC,GO,3231,2,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,7,45582.32,45583.22,24.97,Crossfield,12,23 54 40.5408 -37 37 41.64,8.016,80.44,5443,1.02,0.949,4.386,0.7920642,0.017,76.39,0.092,0.421,14.75,1.87,1973.2,0.1,0.5,184.25,33.89,X,0.27,,,LTT 9779 b,LTT 9779 b,1,LTT 9779,29.32,0.78,-0.81,1.536,0.123,-0.123,1978,b,0.792052,0.01679,4.72,0.23,-0.23,0.466,17/9/2020,0.949,5443,80.4373,8.446,8.016
GJ 3473,b,Eclipse,GO,3730,2,29,Executed,F1500W,X,SUB256,FASTR1,39,45585.04,45585.24,4.78,Diamond-Lowe,12,08 02 22.4521 +03 20 13.60,8.829,27.36,3339.5,0.36,0.359,4.863,1.1980015,0.016,87.95,0.006,0.11,13.61,6.6,765.7,0.1,1,16.1,0.69,X,0.11,,,GJ 3473 b,GJ 3473 b,1,GJ 3473,1.86,0.3,-0.3,5.03,1.07,-0.93,773,b,1.1980035,0.01589,1.264,0.05,-0.049,0.95,16/10/2020,0.364,3347,27.3644,9.627,8.829001
WASP-80,b,Transit,GO,5924,3,3,Executed,SOSS,X,SUBSTRIP256,NISRAPID,3,45585.81,45586.08,7.25,Sing,0,20 12 40.1693 -02 08 39.19,8.351,49.79,4145,0.57,0.571,4.668,3.0678527,0.034,89.02,0.55,0.969,16.6,0.92,814.3,2.9,2.1,367.92,25.26,X,-0.14,,,WASP-80 b,WASP-80 b,1,WASP-80,170.99254,11.12405,-11.44188,0.717,0.039,-0.032,825,b,3.06785234,0.0344,11.197791,0.33627,-0.347479,2.131,16/4/2015,0.586,4143,49.7876,9.218,8.351
Kepler-167,e,Transit,GO,6491,3,1,Executed,BOTS,PRISM,SUB512,NRSRAPID,6,45589.6,45592.17,70.62,Cassese,12,19 30 38.0262 +38 20 43.44,11.832,341.91,4876,0.776,0.746,4.576,1071.23205,1.881,89.96,1.01,0.905,34.96,2.07,148.1,1.9,16.2,3.5,0,X,0.05,,,Kepler-167 e,Kepler-167 e,1,Kepler-167,321.0066911,50.85254512,-47.67426105,1.68,0.34,-0.33,134.4,e,1071.23205,1.883,10.16,0.42,-0.42,16.1784,18/7/2022,0.749,4884,341.908,12.446,11.832
HAT-P-1,b,Transit,GO,2950,2,1,Executed,LRS,X,SLITLESSPRISM,FASTR1,49,45592.17,45592.52,10.01,Waters,12,22 57 46.8872 +38 40 29.71,8.858,158.98,5980,1.133,1.142,4.382,4.4652991,0.055,85.9,0.527,1.297,8.89,0.37,1310.7,1.4,2.8,292.8,39.56,X,0.13,,,HAT-P-1 b,HAT-P-1 b,1,HAT-P-1,166.86075,6.03877,-6.03877,0.282,0.01,-0.009,1322,b,4.46529976,0.05561,14.784671,0.212971,-0.212971,2.85,8/9/2015,1.174,5980,158.979,9.156,8.858
HAT-P-11,b,Transit,GO,2950,2,3,Executed,LRS,X,SLITLESSPRISM,FASTR1,9,45594.26,45594.6,8.88,Waters,12,19 50 50.4423 +48 04 54.71,7.009,37.76,4777.6,0.81,0.755,4.59,4.8878027,0.053,89.36,0.081,0.43,12.42,1.55,869.5,0.4,2.4,247.39,5.89,X,0.31,,,HAT-P-11 b,HAT-P-11 b,1,HAT-P-11,23.51930212,1.27131363,-1.27131363,1.172,0.085,-0.085,847,b,4.888,0.05258,4.901,0.065,-0.065,2.3565,24/2/2025,0.74,4653,37.7647,7.608,7.009
TRAPPIST-1,b+c,Eclipse,GO,5191,3,1,Executed,F1280W,X,SUB256,FASTR1,93,45595.37,45595.52,4.67,Ducrot,12,23 06 29.3685 -05 02 29.04,10.296,-1,2559,0.09,0.118,5.24,2.421848,0.016,89.62,0.004,0.096,12.67,7.07,337.4,0.7,0.7,31.19,0,X,0.04,,,TRAPPIST-1 b,TRAPPIST-1 b,1,TRAPPIST-1,1.374,0.069,-0.069,5.441939,0.264654,-0.275681,802.86,b,1.510826,0.01154,1.116,0.014,-0.012,0.601,14/11/2022,0.1192,2566,,11.354,10.296
TRAPPIST-1,b+c,Eclipse,GO,5191,3,2,Executed,F1280W,X,SUB256,FASTR1,93,45607.45,45607.63,5.43,Ducrot,12,23 06 29.3685 -05 02 29.04,10.296,-1,2559,0.09,0.118,5.24,2.421848,0.016,89.62,0.004,0.096,12.67,7.07,337.4,0.7,0.7,31.19,0,X,0.04,,,TRAPPIST-1 b,TRAPPIST-1 b,1,TRAPPIST-1,1.374,0.069,-0.069,5.441939,0.264654,-0.275681,802.86,b,1.510826,0.01154,1.116,0.014,-0.012,0.601,14/11/2022,0.1192,2566,,11.354,10.296
TOI-4010,b,Transit,GO,5894,3,1,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45610.91,45611.16,6.22,Kunimoto,12,01 20 51.5598 +66 04 19.91,10.157,177.5,4924,0.88,0.855,4.495,1.3483213,0.023,88.1,0.035,0.277,12.76,2.46,1450.9,0.1,1.8,52.71,3.33,X,0.37,unsure,no,TOI-4010 b,TOI-4010 b,1,TOI-4010,11,1.29,-1.27,2.2,0.3,-0.3,1441,b,1.348335,0.0229,3.02,0.08,-0.08,1.77,27/6/2023,0.83,4960,177.504,10.649,10.157
HAT-P-1,b,Transit,GO,5924,3,8,Executed,BOTS,G395H,SUB2048,NRSRAPID,19,45614.51,45614.85,8.76,Sing,0,22 57 46.8442 +38 40 30.36,8.858,158.98,5980,1.133,1.142,4.382,4.4652991,0.055,85.9,0.527,1.297,8.89,0.37,1310.7,1.4,2.8,292.8,39.56,X,0.13,,,HAT-P-1 b,HAT-P-1 b,1,HAT-P-1,166.86075,6.03877,-6.03877,0.282,0.01,-0.009,1322,b,4.46529976,0.05561,14.784671,0.212971,-0.212971,2.85,8/9/2015,1.174,5980,158.979,9.156,8.858
TRAPPIST-1,b+c,Eclipse,GO,5191,3,3,Executed,F1280W,X,SUB256,FASTR1,93,45619.53,45619.75,6.31,Ducrot,12,23 06 29.3685 -05 02 29.04,10.296,-1,2559,0.09,0.118,5.24,2.421848,0.016,89.62,0.004,0.096,12.67,7.07,337.4,0.7,0.7,31.19,0,X,0.04,,,TRAPPIST-1 b,TRAPPIST-1 b,1,TRAPPIST-1,1.374,0.069,-0.069,5.441939,0.264654,-0.275681,802.86,b,1.510826,0.01154,1.116,0.014,-0.012,0.601,14/11/2022,0.1192,2566,,11.354,10.296
TOI-125,c,Transit,GO,4126,2,201,Executed,BOTS,G395H,SUB2048,NRSRAPID,22,45622.73,45623.12,9.95,Fisher,12,01 34 22.4221 -66 40 34.86,8.995,111.06,5282,0.871,0.851,4.517,9.1526075,0.082,88.54,0.021,0.246,9.76,2.12,822.5,0.1,2.9,58.89,0.39,X,0.07,unsure,no,TOI-125 c,TOI-125 c,1,TOI-125,6.63,0.99,-0.99,1.73,0.33,-0.33,827.8,c,9.15059,0.0814,2.759,0.1,-0.1,2.9544,6/2/2020,0.848,5320,111.059,9.466,8.995
GJ 9827,d,Transit,GO,4098,2,91,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45624.77,45624.98,5.09,Benneke,0,23 27 5.2388 -01 17 7.13,7.193,29.66,4255,0.62,0.602,4.68,6.2014698,0.056,87.44,0.01,0.18,8.98,2.66,671.8,0.1,1.2,175.62,0.41,X,-0.29,,,GJ 9827 d,GJ 9827 d,1,GJ 9827,3.02,0.58,-0.57,2.51,0.57,-0.51,675,d,6.20183,0.053,1.98,0.11,-0.1,1.248,15/10/2024,0.58,4236,29.661,7.984,7.193
TOI-1468,c,Transit,GO,3557,2,7,Executed,SOSS,X,SUBSTRIP256,NISRAPID,3,45627.7,45627.92,5.44,Madhusudhan,12,01 06 36.9279 +19 13 29.60,8.497,24.74,3382,0.346,0.369,4.855,15.532477,0.086,89.28,0.017,0.184,14.12,4.1,337.8,0.3,1.8,83.49,0,X,-0.02,,,TOI-1468 c,TOI-1468 c,1,TOI-1468,4.1,1.1,-1.1,2.31,0.72,-0.66,338.1,c,15.532477,0.08608,2.126,0.092,-0.093,1.86,11/6/2025,0.3714,3376,24.7399,9.343,8.497
TRAPPIST-1,b+c,Eclipse,GO,5191,3,4,Executed,F1280W,X,SUB256,FASTR1,93,45631.64,45631.86,6.89,Ducrot,12,23 06 29.3685 -05 02 29.04,10.296,-1,2559,0.09,0.118,5.24,2.421848,0.016,89.62,0.004,0.096,12.67,7.07,337.4,0.7,0.7,31.19,0,X,0.04,,,TRAPPIST-1 b,TRAPPIST-1 b,1,TRAPPIST-1,1.374,0.069,-0.069,5.441939,0.264654,-0.275681,802.86,b,1.510826,0.01154,1.116,0.014,-0.012,0.601,14/11/2022,0.1192,2566,,11.354,10.296
