hostname_nn,letter_nn,Event,ProposalCategory,ProposalID,Cycle,Observation,Status,ObservingMode,GratingGrism,Subarray,ReadoutPattern,Groups,StartTime,EndTime,Hours,LastName,ProprietaryPeriod,EquatorialCoordinates,sy_kmag,sy_dist,st_teff,st_mass,st_rad,st_logg,pl_orbper,pl_orbsmax,pl_orbincl,pl_massj,pl_radj,pl_g_SI,pl_dens_cgs,pl_Teq_K,pl_trandep,pl_trandur,pl_TSM_K,pl_ESM_3um,PlanWindow,st_met,spectrum,published
TRAPPIST-1,f,Transit,GTO,1201,1,102,Executed,SOSS,X,SUBSTRIP256,NISRAPID,18,45110.96,45111.14,5.13,Lafreniere,12,23 06 30.3652 -05 02 36.70,10.296,-1,2559,0.089,0.119,5.24,9.207115,0.039,89.68,0.003,0.093,9.58,5.5,217.1,0.7,1,25.31,0,X,0.05,,
WASP-107,b,Transit,GTO,1185,1,9,Executed,GTS,GRISMR+F444W,SUBGRISM256,BRIGHT2,15,45111.68,45112.04,9.43,Greene,12,12 33 32.7426 -10 08 46.37,8.637,64.74,4430,0.69,0.66,4.5,5.7214886,0.055,89.56,0.12,0.944,3.8,0.22,738,2.2,2.7,930.94,8.08,X,0.02,,
K2-141,b,PhaseC,GO,2159,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,10,45112.25,45112.78,14.91,Espinoza,12,23 23 40.0950 -01 11 21.05,8.401,61.87,4570,0.707,0.681,4.602,0.2803244,0.007,86.3,0.016,0.135,25.16,9.99,2126.3,0.1,0.9,10,8.87,X,0.02,,
LHS 1140,b,Transit,GO,2334,1,2,Executed,BOTS,G235H,SUB2048,NRSRAPID,8,45112.83,45113.11,7.26,Damiano,12,00 44 59.6717 -15 16 26.79,8.821,14.99,3131,0.179,0.214,5.049,24.737165,0.094,89.89,0.0176,0.1543,24.48,5.9,226,0.5,2.1,69.87,0,X,-0.24,unsure,yes
TRAPPIST-1,b,Eclipse,GTO,1279,1,4,Executed,F1280W,X,FULL,FASTR1,15,45113.34,45113.55,5.35,Lagage,12,23 06 29.3600 -05 02 29.20,10.296,-1,2562.5,0.09,0.117,5.258,1.51087,0.012,89.53,0.003,0.1,9.15,4.92,393.5,0.8,0.6,53.26,0.02,X,0.04,,
TRAPPIST-1,b,Eclipse,GTO,1279,1,5,Executed,F1280W,X,FULL,FASTR1,15,45114.85,45115.06,5.35,Lagage,12,23 06 29.3600 -05 02 29.20,10.296,-1,2562.5,0.09,0.117,5.258,1.51087,0.012,89.53,0.003,0.1,9.15,4.92,393.5,0.8,0.6,53.26,0.02,X,0.04,,
L 98-59,c,Transit,GO,2512,1,16,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45116.5,45116.7,5.91,Batalha,0,08 18 7.8865 -68 18 52.08,7.101,10.62,3412,0.312,0.312,4.94,3.6906745,0.031,88.5,0.007,0.12,13.83,6.15,519.5,0.2,1.3,34.45,0.16,X,-0.5,,
L 98-59,c,Transit,GO,2512,1,15,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45120.16,45120.39,5.91,Batalha,0,08 18 7.8865 -68 18 52.08,7.101,10.62,3412,0.312,0.312,4.94,3.6906745,0.031,88.5,0.007,0.12,13.83,6.15,519.5,0.2,1.3,34.45,0.16,X,-0.5,,
TOI-178,b,Transit,GO,2319,1,3,Executed,BOTS,G395M,SUB2048,NRSRAPID,7,45120.58,45120.85,7.37,Hooton,12,00 29 12.4828 -30 27 14.82,8.656,62.7,4316,0.65,0.651,4.45,1.914558,0.026,88.8,0.005,0.103,12.66,6.59,1040,0,1.7,7.22,0.57,X,-0.23,unsure,no
TRAPPIST-1,h,Transit,GO,1981,1,53,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45121.11,45121.32,5.67,Stevenson,0,23 06 30.3341 -05 02 36.46,10.296,-1,2559,0.09,0.118,5.258,18.7700702,0.062,89.78,0.001,0.067,6.46,5.13,170.4,0.3,1.3,21.7,0,X,0.05,,
HD 209458,b,Transit,GO,2667,1,51,Executed,LRS,X,SLITLESSPRISM,FASTR1,7,45121.6,45121.95,9.37,Wakeford,12,22 03 10.8053 +18 53 3.27,6.308,48.3,6065,1.119,1.18,4.361,3.5247486,0.047,86.71,0.685,1.38,10.2,0.4,1464.3,1.6,3,920.51,191.81,X,0,,
TRAPPIST-1,b,Eclipse,GTO,1279,1,2,Executed,F1280W,X,FULL,FASTR1,15,45122.44,45122.63,5.35,Lagage,12,23 06 29.3600 -05 02 29.20,10.296,-1,2562.5,0.09,0.117,5.258,1.51087,0.012,89.53,0.003,0.1,9.15,4.92,393.5,0.8,0.6,53.26,0.02,X,0.04,,
HD 15337,b,Transit,GO,2512,1,17,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45123.91,45124.25,9.04,Batalha,0,02 27 28.2923 -27 38 10.02,7.044,44.82,5131,0.851,0.848,4.428,4.7560652,0.052,88.5,0.023,0.153,27.51,9.64,996.3,0,2.5,38.8,0.99,X,0.03,unsure,no
GJ 1214,b,Transit,GTO,1185,1,18,Executed,BOTS,G395H,SUB2048,NRSRAPID,16,45125.26,45125.51,6.37,Greene,12,17 15 19.5552 +04 57 38.07,8.782,14.64,3026,0.157,0.211,5,1.5804046,0.015,88.94,0.02,0.24,9.86,2.2,549.1,1.3,0.9,680.55,1.24,X,0.1,flat,yes
GJ 1214,b,Transit,GTO,1185,1,19,Executed,BOTS,G395H,SUB2048,NRSRAPID,16,45126.84,45127.09,6.37,Greene,12,17 15 19.5552 +04 57 38.07,8.782,14.64,3026,0.157,0.211,5,1.5804046,0.015,88.94,0.02,0.24,9.86,2.2,549.1,1.3,0.9,680.55,1.24,X,0.1,,
HAT-P-1,b,Transit,GTO,1201,1,3,Executed,SOSS,X,SUBSTRIP256,NISRAPID,4,45127.83,45128.13,8.46,Lafreniere,12,22 57 46.8872 +38 40 29.71,8.858,158.98,5980,1.133,1.142,4.382,4.4652991,0.055,85.9,0.527,1.297,8.89,0.37,1310.7,1.4,2.8,292.8,39.56,X,0.13,,
TRAPPIST-1,f,Transit,GTO,1201,1,103,Executed,SOSS,X,SUBSTRIP256,NISRAPID,18,45129.38,45129.56,5.13,Lafreniere,12,23 06 30.3652 -05 02 36.70,10.296,-1,2559,0.089,0.119,5.24,9.207115,0.039,89.68,0.003,0.093,9.58,5.5,217.1,0.7,1,25.31,0,X,0.05,,
TRAPPIST-1,b,Eclipse,GTO,1279,1,3,Executed,F1280W,X,FULL,FASTR1,15,45129.96,45130.17,5.35,Lagage,12,23 06 29.3600 -05 02 29.20,10.296,-1,2562.5,0.09,0.117,5.258,1.51087,0.012,89.53,0.003,0.1,9.15,4.92,393.5,0.8,0.6,53.26,0.02,X,0.04,,
TRAPPIST-1,e,Transit,GTO,1331,1,104,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45130.31,45130.52,5.65,Lewis,12,23 06 30.3652 -05 02 36.70,10.296,-1,2559,0.089,0.119,5.24,6.0995899,0.029,89.79,0.002,0.082,9.2,6.01,249.1,0.5,0.9,26.57,0,X,0.05,,
HD 15337,c,Transit,GO,2512,1,18,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45131.17,45131.44,7.8,Batalha,0,02 27 28.2923 -27 38 10.02,7.044,44.82,5131,0.851,0.848,4.428,17.179473,0.125,88.41,0.026,0.219,15.06,3.68,644.2,0.1,2.2,65.71,0.18,X,0.03,unsure,no
HAT-P-26,b,Eclipse,GTO,1312,1,104,Executed,BOTS,G395H,SUB2048,NRSRAPID,48,45132.38,45132.7,9.1,Lewis,12,14 12 37.5735 +04 03 33.83,9.581,141.84,5079,0.816,0.788,4.56,4.2345024,0.048,88.6,0.06,0.63,4.25,0.36,993.4,0.5,2.5,339.76,6.06,X,-0.04,,
LHS 1140,b,Transit,GO,2334,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,15,45137.57,45137.84,7.26,Damiano,12,00 44 59.6717 -15 16 26.79,8.821,14.99,3131,0.179,0.214,5.049,24.737165,0.094,89.89,0.0176,0.1543,24.48,5.9,226,0.5,2.1,69.87,0,X,-0.24,,
GJ 3090,b,Transit,GO,4098,2,13,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45140.66,45140.86,5.22,Benneke,0,01 21 45.2173 -46 42 53.04,7.294,22.48,3629.5,0.519,0.518,4.745,2.8531035,0.032,87.14,0.011,0.185,8.69,2.51,708,0.1,1.2,252.99,1.03,X,-0.06,,
LTT 1445 A,b,Transit,GO,2512,1,14,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,45141.03,45141.06,6.3,Batalha,0,03 01 50.9947 -16 35 40.18,6.496,6.87,3340,0.256,0.276,4.967,5.3587657,0.038,89.4,0.008,0.121,15.3,6.75,433.6,0.2,1.4,44.25,0.05,X,-0.34,,
LTT 1445 A,b,Eclipse,GO,2708,1,3,Executed,LRS,X,SLITLESSPRISM,FASTR1,5,45143.68,45143.89,5.45,Berta-Thompson,12,03 01 50.9800 -16 35 40.32,6.496,6.87,3340,0.256,0.276,4.967,5.3587657,0.038,89.4,0.008,0.121,15.3,6.75,433.6,0.2,1.4,44.25,0.05,X,-0.34,,
TOI-178,d,Transit,GO,2319,1,1,Executed,BOTS,G395M,SUB2048,NRSRAPID,7,45144.91,45145.21,8.42,Hooton,12,00 29 12.4828 -30 27 14.82,8.656,62.7,4213.5,0.65,0.656,4.503,6.5577756,0.059,88.58,0.009,0.228,5.15,1.21,676.3,0.1,2.2,167.33,0.3,X,-0.23,unsure,no
LHS 3844,b,Eclipse,GO,1846,1,2,Failed,LRS,X,SLITLESSPRISM,FASTR1,30,45156.26,45156.31,4.08,Kreidberg,12,22 41 59.0890 -69 10 19.59,9.145,14.88,3036,0.151,0.189,5.06,0.4629294,0.006,88.5,-1,0.119,-1,-1,807,0.4,0.5,-1,4.03,X,-999,,
HD 15337,c,Transit,GO,2512,1,19,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45165.43,45165.73,7.8,Batalha,0,02 27 28.2923 -27 38 10.02,7.044,44.82,5131,0.851,0.848,4.428,17.179473,0.125,88.41,0.026,0.219,15.06,3.68,644.2,0.1,2.2,65.71,0.18,X,0.03,unsure,no
TOI-421,b,Transit,GO,1935,1,2,Executed,BOTS,G395M,SUB2048,NRSRAPID,4,45179.42,45179.63,5.53,Kempton,12,05 27 24.8259 -14 16 37.05,8.071,74.8,5325,0.842,0.866,4.48,5.197576,0.056,85.68,0.022,0.236,11.15,2.53,1012.5,0,1.1,89.72,1.42,X,-0.03,clear,yes
GJ 3090,b,Transit,GO,4098,2,14,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,45192.01,45192.22,5.22,Benneke,0,01 21 45.2173 -46 42 53.04,7.294,22.48,3629.5,0.519,0.518,4.745,2.8531035,0.032,87.14,0.011,0.185,8.69,2.51,708,0.1,1.2,252.99,1.03,X,-0.06,,
WASP-63,b,Transit,GO,2113,1,5,Executed,SOSS,X,SUBSTRIP256,NISRAPID,4,45197.75,45198.26,13.8,Espinoza,12,06 17 20.7248 -38 19 24.19,9.393,290.68,5560,1.28,1.86,4.01,4.378082,0.056,87.8,0.37,1.382,5.49,0.21,1548.1,0.6,5.4,175.92,25.2,X,0.08,,
LHS 3844,b,Eclipse,GO,1846,1,102,Executed,LRS,X,SLITLESSPRISM,FASTR1,30,45199.34,45199.5,4.08,Kreidberg,12,22 41 59.0890 -69 10 19.59,9.145,14.88,3036,0.151,0.189,5.06,0.4629294,0.006,88.5,-1,0.119,-1,-1,807,0.4,0.5,-1,4.03,X,-999,,
L 231-32,d,Transit,GO,4098,2,17,Executed,BOTS,G395H,SUB2048,NRSRAPID,11,45203.11,45203.38,7.22,Benneke,0,04 33 39.8638 -51 57 26.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,X,-999,,
WASP-80,b,Transit,GTO,1185,1,103,Executed,GTS,GRISMR+F444W,SUBGRISM256,BRIGHT2,12,45205.37,45205.68,7.95,Greene,12,20 12 40.0319 -02 08 39.97,8.351,49.79,4145,0.57,0.571,4.668,3.0678527,0.034,89.02,0.55,0.969,16.6,0.92,814.3,2.9,2.1,367.92,25.26,X,-0.14,,
TOI-5205,b,Transit,GO,3171,2,16,Executed,BOTS,PRISM,SUB512,NRSRAPID,4,45209.19,45209.44,6.84,Kanodia,0,20 55 4.9164 +24 21 38.71,11.006,86.45,3346,0.392,0.397,4.835,1.6307046,0.02,88.21,1.08,1.011,29.97,1.59,720.7,6.8,1.3,114.6,12.19,X,0,,
TOI-5205,b,Transit,GO,3171,2,17,Executed,BOTS,PRISM,SUB512,NRSRAPID,4,45210.81,45211.07,6.84,Kanodia,0,20 55 4.9164 +24 21 38.71,11.006,86.45,3346,0.392,0.397,4.835,1.6307046,0.02,88.21,1.08,1.011,29.97,1.59,720.7,6.8,1.3,114.6,12.19,X,0,,
TOI-5205,b,Transit,GO,3171,2,18,Executed,BOTS,PRISM,SUB512,NRSRAPID,4,45212.44,45212.71,6.84,Kanodia,0,20 55 4.9164 +24 21 38.71,11.006,86.45,3346,0.392,0.397,4.835,1.6307046,0.02,88.21,1.08,1.011,29.97,1.59,720.7,6.8,1.3,114.6,12.19,X,0,,
WASP-80,b,Eclipse,GTO,1201,1,7,Executed,SOSS,X,SUBSTRIP256,NISRAPID,4,45225.31,45225.59,6.97,Lafreniere,12,20 12 40.0319 -02 08 39.97,8.351,49.79,4145,0.57,0.571,4.668,3.0678527,0.034,89.02,0.55,0.969,16.6,0.92,814.3,2.9,2.1,367.92,25.26,X,-0.14,,
WASP-121,b,PhaseC,GTO,1201,1,1,Executed,SOSS,X,SUBSTRIP256,NISRAPID,6,45225.69,45227.28,43.85,Lafreniere,12,07 10 24.0555 -39 05 50.17,9.374,269.9,6459,1.353,1.458,4.242,1.274925,0.025,88.04,1.17,1.8,10.24,0.3,2357.9,1.7,2.9,307.36,165.69,X,0.13,,
TRAPPIST-1,e,Transit,GTO,1331,1,2,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45227.91,45228.11,5.65,Lewis,12,23 06 30.3652 -05 02 36.70,10.296,-1,2559,0.089,0.119,5.24,6.0995899,0.029,89.79,0.002,0.082,9.2,6.01,249.1,0.5,0.9,26.57,0,X,0.05,,
TRAPPIST-1,c,Transit,GO,2420,1,3,Executed,BOTS,PRISM,SUB512S,NRSRAPID,6,45228.4,45228.65,6.27,Meech,0,23 06 30.3341 -05 02 36.46,10.296,-1,2559,0.09,0.118,5.24,2.421848,0.016,89.62,0.004,0.096,12.67,7.07,337.4,0.7,0.7,31.19,0,X,0.04,,
WASP-52,b,Transit,GO,3969,2,3,Executed,BOTS,G395H,SUB2048,NRSRAPID,35,45229.91,45230.2,7.52,Espinoza,12,23 13 58.7501 +08 45 39.86,10.086,174.82,5000,0.87,0.79,4.503,1.7497812,0.027,85.35,0.46,1.27,8.08,0.34,1300.2,2.9,1.9,371.56,57.4,X,0.03,,
TRAPPIST-1,c,Transit,GO,2589,1,4,Executed,SOSS,X,SUBSTRIP256,NISRAPID,18,45230.85,45231.09,6.76,Lim,0,23 06 30.3341 -05 02 36.46,10.296,-1,2559,0.09,0.118,5.24,2.421848,0.016,89.62,0.004,0.096,12.67,7.07,337.4,0.7,0.7,31.19,0,X,0.04,,
GJ 3470,b,Eclipse,GTO,1201,1,10,Executed,BOTS,G395H,SUB2048,NRSRAPID,10,45234.27,45234.52,6.45,Lafreniere,12,07 59 5.6405 +15 23 28.35,7.989,29.42,3600,0.524,0.5,4.738,3.3366496,0.036,88.88,0.044,0.37,9.05,1.31,651.3,0.6,1.9,353.73,1.9,X,0.2,,
TOI-421,b,Transit,GO,1935,1,1,Executed,SOSS,X,SUBSTRIP96,NISRAPID,3,45236.56,45236.79,5.6,Kempton,12,05 27 24.8259 -14 16 37.05,8.071,74.8,5325,0.842,0.866,4.48,5.197576,0.056,85.68,0.022,0.236,11.15,2.53,1012.5,0,1.1,89.72,1.42,X,-0.03,,
TRAPPIST-1,c,Transit,GO,2420,1,4,Executed,BOTS,PRISM,SUB512S,NRSRAPID,6,45238.09,45238.33,6.27,Meech,0,23 06 30.3341 -05 02 36.46,10.296,-1,2559,0.09,0.118,5.24,2.421848,0.016,89.62,0.004,0.096,12.67,7.07,337.4,0.7,0.7,31.19,0,X,0.04,,
GJ 9827,d,Transit,GO,4098,2,7,Executed,SOSS,X,SUBSTRIP256,NISRAPID,2,45240.32,45240.5,5.07,Benneke,0,23 27 5.2388 -01 17 7.13,7.193,29.66,4255,0.62,0.602,4.68,6.2014698,0.056,87.44,0.01,0.18,8.98,2.66,671.8,0.1,1.2,175.62,0.41,X,-0.29,clear,yes
TOI-178,g,Transit,GO,2319,1,102,Executed,BOTS,G395M,SUB2048,NRSRAPID,7,45241.12,45241.43,8.21,Hooton,12,00 29 12.4828 -30 27 14.82,8.656,62.7,4213.5,0.65,0.676,4.503,20.709002,0.128,88.82,0.012,0.295,4.03,0.73,467.9,0.2,2.2,183.19,0.03,X,-0.23,unsure,no
HATS-72,b,Transit,GO,2594,1,1,Executed,BOTS,G395M,SUB2048,NRSRAPID,18,45244.98,45245.3,8.37,Spake,12,22 36 6.2016 -17 00 1.10,9.764,127.59,4656.1,0.731,0.721,4.585,7.3279485,0.067,89.56,0.125,0.785,5.77,0.39,739.4,1.4,3,254.14,2.59,X,0.1,,
GJ 9827,d,Transit,GO,4098,2,8,Executed,SOSS,X,SUBSTRIP256,NISRAPID,2,45246.45,45246.66,5.07,Benneke,0,23 27 5.2388 -01 17 7.13,7.193,29.66,4255,0.62,0.602,4.68,6.2014698,0.056,87.44,0.01,0.18,8.98,2.66,671.8,0.1,1.2,175.62,0.41,X,-0.29,,
TOI-260,b,Transit,GO,2512,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,45246.76,45247.06,7.75,Batalha,0,00 19 5.5243 -09 57 58.14,6.549,20.19,4050,0.582,0.607,4.646,13.4758478,0.093,88.84,0.012,0.153,14.43,5.06,499.9,0.1,2.1,90.97,0.05,X,-0.34,unsure,no
TRAPPIST-1,c,Transit,GO,2420,1,2,Failed,BOTS,PRISM,SUB512S,NRSRAPID,6,45247.78,45247.8,6.27,Meech,0,23 06 30.3341 -05 02 36.46,10.296,-1,2559,0.09,0.118,5.24,2.421848,0.016,89.62,0.004,0.096,12.67,7.07,337.4,0.7,0.7,31.19,0,X,0.04,,
LHS 1478,b,Eclipse,GO,3730,2,13,Executed,F1500W,X,SUB256,FASTR1,39,45248.79,45248.97,4.58,Diamond-Lowe,12,02 57 21.4288 +76 33 4.86,8.767,18.23,3397.5,0.236,0.253,4.921,1.9495391,0.018,87.45,0.007,0.118,15.04,6.85,606.3,0.2,0.8,25.46,0.35,X,-0.13,,
GJ 357,b,Transit,GTO,1201,1,201,Executed,SOSS,X,SUBSTRIP96,NISRAPID,2,45252.49,45252.72,5.78,Lafreniere,12,09 36 1.7915 -21 39 54.23,6.475,9.44,3505,0.342,0.337,4.94,3.9306128,0.036,89.12,0.006,0.109,13.92,6.86,520.7,0.1,1.3,35.38,0.14,X,-0.12,,
TRAPPIST-1,b+c,PhaseC,GO,3077,2,1,Executed,F1500W,X,BRIGHTSKY,FASTR1,45,45252.77,45254.43,45.4,Gillon,0,23 06 29.3685 -05 02 29.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,X,-999,,
TRAPPIST-1,b+c,PhaseC,GO,3077,2,2,Executed,F1500W,X,BRIGHTSKY,FASTR1,45,45254.43,45255.29,24.04,Gillon,0,23 06 29.3685 -05 02 29.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,X,-999,,
LHS 1140,c,Eclipse,GO,3730,2,10,Executed,F1500W,X,SUB256,FASTR1,36,45257.72,45257.94,5.36,Diamond-Lowe,12,00 44 59.6827 -15 16 27.09,8.821,14.99,3131,0.182,0.214,5.049,3.7779329,0.027,89.92,0.0176,0.1543,24.48,5.9,226,0.3,1.1,28.57,0.02,X,-0.24,,
WASP-166,b,Transit,GO,2062,1,2,Failed,BOTS,G395M,SUB2048,NRSRAPID,3,45258.45,45258.51,11.46,Mayo,12,09 39 30.0251 -20 58 56.71,8.032,114.17,6050,1.19,1.22,4.34,5.44354,0.064,88,0.101,0.641,6.97,0.58,1272.7,0.3,3.6,229.7,11,X,0.19,,
TOI-1468,b,Eclipse,GO,3730,2,16,Executed,F1500W,X,SUB256,FASTR1,31,45259.9,45260.11,5.33,Diamond-Lowe,12,01 06 36.9279 +19 13 29.60,8.497,24.74,3382,0.346,0.369,4.855,1.8805201,0.021,88.14,0.01,0.125,17.84,7.64,682.8,0.1,1.1,13.67,0.48,X,-0.02,,
TOI-260,b,Transit,GO,2512,1,2,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,45260.25,45260.53,7.75,Batalha,0,00 19 5.5243 -09 57 58.14,6.549,20.19,4050,0.582,0.607,4.646,13.4758478,0.093,88.84,0.012,0.153,14.43,5.06,499.9,0.1,2.1,90.97,0.05,X,-0.34,unsure,no
LHS 1140,b,Transit,DD,6543,2,1,Executed,SOSS,X,SUBSTRIP256,NISRAPID,3,45261.25,45261.55,7.88,Cadieux,0,00 44 59.3309 -15 16 17.54,8.821,14.99,3131,0.179,0.214,5.049,24.737165,0.094,89.89,0.0176,0.1543,24.48,5.9,226,0.5,2.1,69.87,0,X,-0.24,,
TOI-1468,b,Eclipse,GO,3730,2,17,Executed,F1500W,X,SUB256,FASTR1,31,45261.78,45261.99,5.33,Diamond-Lowe,12,01 06 36.9279 +19 13 29.60,8.497,24.74,3382,0.346,0.369,4.855,1.8805201,0.021,88.14,0.01,0.125,17.84,7.64,682.8,0.1,1.1,13.67,0.48,X,-0.02,,
GJ 436,b,Eclipse,GTO,1177,1,5,Executed,LRS,X,SLITLESSPRISM,FASTR1,5,45262.65,45262.9,6.64,Greene,12,11 42 12.1620 +26 42 10.63,6.073,9.75,3456,0.452,0.448,4.804,2.6438975,0.029,86.7,0.073,0.368,15.28,2.22,657.9,0.6,1,634.67,6.52,X,-0.03,,
WASP-127,b,Transit,GTO,1201,1,6,Executed,SOSS,X,SUBSTRIP256,NISRAPID,3,45263.3,45263.69,11.05,Lafreniere,12,10 42 14.1035 -03 50 6.00,8.641,159.51,5620,1.08,1.369,4.18,4.178062,0.05,88.2,0.172,1.311,2.84,0.12,1415,1,4.3,769.49,44.07,X,-0.18,,
GJ 357,b,Transit,GO,2512,1,7,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,45264.2,45264.43,6.22,Batalha,0,09 36 1.7915 -21 39 54.23,6.475,9.44,3505,0.342,0.337,4.94,3.9306128,0.036,89.12,0.006,0.109,13.92,6.86,520.7,0.1,1.3,35.38,0.14,X,-0.12,,
GJ 3090,b,Transit,GO,4098,2,12,Executed,SOSS,X,SUBSTRIP256,NISRAPID,2,45266.19,45266.4,5.19,Benneke,0,01 21 45.2173 -46 42 53.04,7.294,22.48,3629.5,0.519,0.518,4.745,2.8531035,0.032,87.14,0.011,0.185,8.69,2.51,708,0.1,1.2,252.99,1.03,X,-0.06,unsure,yes
GJ 436,b,Eclipse,GTO,1185,1,15,Executed,GTS,GRISMR+F444W,SUBGRISM64,BRIGHT2,5,45267.94,45268.19,6.58,Greene,12,11 42 12.1620 +26 42 10.63,6.073,9.75,3456,0.452,0.448,4.804,2.6438975,0.029,86.7,0.073,0.368,15.28,2.22,657.9,0.6,1,634.67,6.52,X,-0.03,,
TRAPPIST-1,h,Transit,GO,1981,1,51,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,45271.19,45271.42,5.67,Stevenson,0,23 06 30.3341 -05 02 36.46,10.296,-1,2559,0.09,0.118,5.258,18.7700702,0.062,89.78,0.001,0.067,6.46,5.13,170.4,0.3,1.3,21.7,0,X,0.05,,
GJ 436,b,Eclipse,GTO,1185,1,14,Executed,GTS,GRISMR+F322W2,SUBGRISM64,BRIGHT2,3,45281.15,45281.41,6.57,Greene,12,11 42 12.1620 +26 42 10.63,6.073,9.75,3456,0.452,0.448,4.804,2.6438975,0.029,86.7,0.073,0.368,15.28,2.22,657.9,0.6,1,634.67,6.52,X,-0.03,,
LHS 1140,b,Transit,DD,6543,2,2,Executed,SOSS,X,SUBSTRIP256,NISRAPID,3,45285.98,45286.29,7.88,Cadieux,0,00 44 59.6827 -15 16 27.09,8.821,14.99,3131,0.179,0.214,5.049,24.737165,0.094,89.89,0.0176,0.1543,24.48,5.9,227.5,0.5,2.1,69.87,0,X,-0.24,,
L 98-59,d,Transit,GO,4098,2,1,Executed,SOSS,X,SUBSTRIP96,NISRAPID,4,45288.75,45288.95,4.99,Benneke,0,08 18 7.8951 -68 18 46.87,7.101,10.62,3412,0.312,0.312,4.94,7.4507305,0.05,88.45,0.007,0.141,9.67,3.68,411,0.1,0.8,45.51,0.02,X,-0.5,,
L 98-59,c,Transit,GTO,1201,1,301,Failed,SOSS,X,SUBSTRIP96,NISRAPID,4,45289.87,45289.93,5.44,Lafreniere,12,08 18 7.8865 -68 18 52.08,7.101,10.62,3412,0.312,0.312,4.94,3.6906745,0.031,88.5,0.007,0.12,13.83,6.15,519.5,0.2,1.3,34.45,0.16,X,-0.5,,
WASP-166,b,Transit,GO,2062,1,4,Executed,SOSS,X,SUBSTRIP96,NISRAPID,2,45291.1,45291.54,11.5,Mayo,12,09 39 30.0251 -20 58 56.71,8.032,114.17,6050,1.19,1.22,4.34,5.44354,0.064,88,0.101,0.641,6.97,0.58,1272.7,0.3,3.6,229.7,11,X,0.19,,
HATS-6,b,Transit,GO,3171,2,6,Executed,BOTS,PRISM,SUB512,NRSRAPID,4,45306.11,45306.41,7.61,Kanodia,0,05 52 35.2367 -19 01 53.97,11.224,169.32,3724,0.574,0.57,4.683,3.3252709,0.036,88.21,0.319,1.012,8.83,0.47,712.3,3.4,2,168.99,4.11,X,0.2,,
WASP-166,b,Transit,GO,2062,1,3,Executed,BOTS,G395M,SUB2048,NRSRAPID,3,45307.46,45307.88,11.46,Mayo,12,09 39 30.0251 -20 58 56.71,8.032,114.17,6050,1.19,1.22,4.34,5.44354,0.064,88,0.101,0.641,6.97,0.58,1272.7,0.3,3.6,229.7,11,X,0.19,,
TOI-1468,b,Eclipse,GO,3730,2,18,Executed,F1500W,X,SUB256,FASTR1,31,45308.79,45309.01,5.33,Diamond-Lowe,12,01 06 36.9279 +19 13 29.60,8.497,24.74,3382,0.346,0.369,4.855,1.8805201,0.021,88.14,0.01,0.125,17.84,7.64,682.8,0.1,1.1,13.67,0.48,X,-0.02,,
K2-18,b,Transit,GO,2372,1,1,Executed,BOTS,G235H,SUB2048,NRSRAPID,9,45309.04,45309.47,11.34,Hu,12,11 30 14.4338 +07 35 16.19,8.899,38.03,3457,0.413,0.411,4.786,32.9398375,0.146,89.58,0.027,0.203,18.6,4.89,279.6,0.3,2.7,38.9,0,X,0.12,,
LHS 1478,b,Eclipse,GO,3730,2,12,Executed,F1500W,X,SUB256,FASTR1,39,45311.17,45311.36,4.58,Diamond-Lowe,12,02 57 21.4288 +76 33 4.86,8.767,18.23,3397.5,0.236,0.253,4.921,1.9495391,0.018,87.45,0.007,0.118,15.04,6.85,606.3,0.2,0.8,25.46,0.35,X,-0.13,,
HATS-6,b,Transit,GO,3171,2,7,Executed,BOTS,PRISM,SUB512,NRSRAPID,4,45312.76,45313.06,7.61,Kanodia,0,05 52 35.2367 -19 01 53.97,11.224,169.32,3724,0.574,0.57,4.683,3.3252709,0.036,88.21,0.319,1.012,8.83,0.47,712.3,3.4,2,168.99,4.11,X,0.2,,
